datum;helyszin;nev;nem;szuldat;nemzet;helyezes;hiba;csapat;tipus;motor
1950.06.04;Svájc;Antoine Branca;F;1916.9.15;svájci;11;;Scuderia Achille Varzi;Maserati;Maserati
1953.01.18;Argentína;Pablo Birger;F;1924.1.6;argentín;;nem azonosított;Equipe Gordini;Simca-Gordini;Gordini
1955.05.22;Monaco;Robert Manzon;F;1917.4.12;francia;;sebességváltó;Equipe Gordini;Gordini;Gordini
1958.07.06;Franciaország;Tony Brooks;F;1932.2.25;brit;;kiesett;Vandervell Products Ltd;Vanwall;Vanwall
1951.07.01;Franciaország;Harry Schell;F;1921.6.29;amerikai;;túlhajtás;Enrico Plate;Maserati;Maserati
1957.08.04;Németország;Hans Herrmann;F;1928.2.23;német;;motor;Scuderia Centro Sud;Maserati;Maserati
1950.05.13;Nagy-Britannia;Cuth Harrison;F;1906.7.6;brit;7;;;ERA;ERA
1953.07.18;Nagy-Britannia;Louis Chiron;F;1899.8.3;monacoi;;nem rajtolt el;;Osca;Osca
1958.10.19;Marokkó;Cliff Allison;F;1932.2.8;brit;10;;Team Lotus;Lotus;Climax
1954.07.04;Franciaország;Mike Hawthorn;F;1929.4.10;brit;;motor;Scuderia Ferrari;Ferrari;Ferrari
1955.06.19;Hollandia;Roberto Mieres;F;1924.12.3;argentín;4;;Officine Alfieri Maserati;Maserati;Maserati
1960.08.14;Portugália;Phill Hill;F;1927.4.20;amerikai;;karambol;Scuderia Ferrari;Ferrari;Ferrari
1957.05.19;Monaco;Luigi Piotti;F;1913.10.27;olasz;;kizárták;;Maserati;Maserati
1954.07.17;Nagy-Britannia;Peter Whitehead;F;1914.11.12;brit;;olajfolyás;;Cooper;Alta
1952.09.07;Olaszország;Franco Rol;F;1908.6.5;olasz;;motor;Officine Alfieri Maserati;Maserati;Maserati
1955.01.16;Argentína;Clemar Bucci;F;1920.9.4;argentín;;kiesett;Officine Alfieri Maserati;Maserati;Maserati
1954.07.04;Franciaország;Alberto Ascari;F;1918.7.13;olasz;;motor;Officine Alfieri Maserati;Maserati;Maserati
1952.09.07;Olaszország;Ken McAlpine;F;1920.9.21;brit;;kiállás;Connaught Engineering;Connaught;Lea
1951.05.30;USA;Bill Mackey;F;1927.12.10;amerikai;;kuplung;Hall;Hall;Offenhauser
1959.08.23;Portugália;Graham Hill;F;1929.2.15;brit;;karambol;Team Lotus;Lotus;Climax
1959.05.10;Monaco;Alain de Changy;F;1922.2.5;belga;;kizárták;Equipe Nationale Belge;Cooper;Climax
1960.08.14;Portugália;Dan Gurney;F;1931.4.13;amerikai;;túlhajtás;Owen Racing Organisation;BRM;BRM
1956.06.03;Belgium;Piero Scotti;F;1909.11.11;olasz;;olajnyomás;;Connaught;Alta
1955.05.22;Monaco;Alberto Ascari;F;1918.7.13;olasz;;karambol;Scuderia Lancia;Lancia;Lancia
1955.09.11;Olaszország;Luigi Villoresi;F;1909.5.16;olasz;;gumi;Scuderia Ferrari;Ferrari;Ferrari
1952.08.03;Németország;Toni Ulmen;F;1906.1.25;német;8;;;Veritas;BMW
1950.05.30;USA;Mack Hellings;F;1917.9.14;amerikai;13;;Charles Pritchard;Kurtis;Offenhauser
1959.05.10;Monaco;Jean Lucienbonnet;F;1962.8.19;francia;;kizárták;;Cooper;Climax
1959.07.18;Nagy-Britannia;Henry Taylor;F;1932.12.16;brit;11;;Cooper Car Company;Cooper;Climax
1953.06.07;Hollandia;Luigi Villoresi;F;1909.5.16;olasz;;gázadagoló;Scuderia Ferrari;Ferrari;Ferrari
1952.06.22;Belgium;Louis Rosier;F;1905.11.5;francia;;futómû;Ecurie Rosier;Ferrari;Ferrari
1953.09.13;Olaszország;Roberto Mieres;F;1924.12.3;argentín;6;;Equipe Gordini;Gordini;Gordini
1958.05.30;USA;Dick Rathmann;F;1926.1.6;amerikai;;karambol;Watson;Watson;Offenhauser
1954.07.04;Franciaország;Prince Birabongse Bhanuban;F;1914.7.15;thaiföldi;4;;Prince Bira;Maserati;Maserati
1952.05.30;USA;Art Cross;F;1918.1.24;amerikai;5;;Ray Brady;Kurtis;Offenhauser
1960.06.19;Belgium;Lance Reventlow;F;1936.2.24;amerikai;;motor;Reventlow Automobiles Inc;Scarab;Scarab
1954.07.17;Nagy-Britannia;Robert Manzon;F;1917.4.12;francia;;hengerfej;Ecurie Rosier;Ferrari;Ferrari
1953.07.05;Franciaország;Stirling Moss;F;1929.9.17;brit;;kuplung;Cooper Car Company;Cooper;Alta
1960.05.30;USA;Bob Christie;F;1924.4.4;amerikai;10;;Kurtis Kraft;Kurtis;Offenhauser
1954.08.01;Németország;Luigi Villoresi;F;1909.5.16;olasz;;visszalépés;Officine Alfieri Maserati;Maserati;Maserati
1952.09.07;Olaszország;Maurice Trintignant;F;1917.10.30;francia;;motor;Equipe Gordini;Gordini;Gordini
1952.05.30;USA;Jimmy Reece;F;1929.11.17;amerikai;7;;John Zink;Kurtis;Offenhauser
1950.05.30;USA;Troy Ruttman;F;1930.3.11;amerikai;15;;Bowes Racing;Lesovsky;Offenhauser
1958.05.30;USA;Jimmy Reece;F;1929.11.17;amerikai;6;;Watson;Watson;Offenhauser
1952.08.03;Németország;Ludwig Fischer;F;1915.12.17;német;;nem rajtolt el;;AFM;BMW
1953.06.07;Hollandia;Maurice Trintignant;F;1917.10.30;francia;6;;Equipe Gordini;Gordini;Gordini
1955.09.11;Olaszország;Peter Collins;F;1931.11.8;brit;;kiállás;Officine Alfieri Maserati;Maserati;Maserati
1959.05.31;Hollandia;Roy Salvadori;F;1922.5.12;brit;;túlhajtás;David Brown Corporation;Aston;Aston
1958.05.30;USA;George Amick;F;1924.10.24;amerikai;2;;Epperly;Epperly;Offenhauser
1951.09.16;Olaszország;Rudolf Fischer;F;1912.4.19;svájci;;karambol;Ecurie Espadon;Ferrari;Ferrari
1959.07.18;Nagy-Britannia;Maurice Trintignant;F;1917.10.30;francia;5;;Rob Walker Racing Team;Cooper;Climax
1952.07.19;Nagy-Britannia;Gino Bianco;F;1916.7.22;brazil;18;;Escuderia Bandeirantes;Maserati;Maserati
1952.07.19;Nagy-Britannia;Roy Salvadori;F;1922.5.12;brit;8;;G Caprara;Ferrari;Ferrari
1957.07.07;Franciaország;Jack Brabham;F;1926.4.2;ausztrál;7;;Cooper Car Company;Cooper;Climax
1958.05.26;Hollandia;Giorgio Scarlatti;F;1921.10.2;olasz;;sebességváltó;;Maserati;Maserati
1953.08.23;Svájc;Felice Bonetto;F;1903.6.9;olasz;;kiesett;Officine Alfieri Maserati;Maserati;Maserati
1953.05.30;USA;Manny [Manuel] Ayulo;F;1921.10.20;amerikai;13;;Peter Schmidt;Kuzma;Offenhauser
1952.08.03;Németország;Helmut Niedermayr;F;1915.11.29;német;9;;;AFM;BMW
1960.05.30;USA;Eddie Sachs;F;1927.5.28;amerikai;;gyújtás;Ewing;Ewing;Offenhauser
1953.07.05;Franciaország;Mike Hawthorn;F;1929.4.10;brit;1;;Scuderia Ferrari;Ferrari;Ferrari
1959.08.23;Portugália;Phill Hill;F;1927.4.20;amerikai;;karambol;Scuderia Ferrari;Ferrari;Ferrari
1955.09.11;Olaszország;Luigi Piotti;F;1913.10.27;olasz;;motor;Scuderia Volpini;Arzani-Volpini;Maserati
1960.07.03;Franciaország;Wolfgang von Trips;F;1928.5.4;német;;futómû;Scuderia Ferrari;Ferrari;Ferrari
1953.07.18;Nagy-Britannia;Jean Behra;F;1921.2.16;francia;;benzinpumpa;Equipe Gordini;Gordini;Gordini
1952.05.18;Svájc;Prince Birabongse Bhanuban;F;1914.7.15;thaiföldi;;motor;Equipe Gordini;Simca-Gordini;Gordini
1958.06.15;Belgium;Jean Behra;F;1921.2.16;francia;;olajnyomás;Owen Racing Organisation;BRM;BRM
1959.05.10;Monaco;Ivo Bueb;F;1923.6.6;brit;;kizárták;British Racing Partnership;Cooper;Climax
1960.11.20;USA;Jack Brabham;F;1926.4.2;ausztrál;4;;Cooper Car Company;Cooper;Climax
1957.08.18;Olaszország;Jean Behra;F;1921.2.16;francia;;olajfolyás;Officine Alfieri Maserati;Maserati;Maserati
1956.05.30;USA;Gene Hartley;F;1926.1.28;amerikai;11;;Kuzma;Kuzma;Offenhauser
1954.05.31;USA;Duane Carter;F;1913.5.5;amerikai;15;;Kurtis Kraft;Kurtis;Offenhauser
1959.07.05;Franciaország;Olivier Gendebien;F;1924.1.12;belga;4;;Scuderia Ferrari;Ferrari;Ferrari
1958.01.19;Argentína;Harry Schell;F;1921.6.29;amerikai;6;;Joakim Bonnier Racing Team;Maserati;Maserati
1952.07.06;Franciaország;Harry Schell;F;1921.6.29;amerikai;;kiesett;Enrico Plate;Maserati;Plate
1954.07.04;Franciaország;Harry Schell;F;1921.6.29;amerikai;;benzinpumpa;;Maserati;Maserati
1953.08.02;Németország;Erwin Bauer;F;1912.7.17;német;;kiesett;;Veritas;Veritas
1950.06.04;Svájc;Luigi Fagioli;F;1898.6.9;olasz;2;;Alfa Romeo SpA;Alfa;Alfa
1953.09.13;Olaszország;Stirling Moss;F;1929.9.17;brit;13;;Cooper Car Company;Cooper;Alta
1955.06.05;Belgium;Roberto Mieres;F;1924.12.3;argentín;5;;Officine Alfieri Maserati;Maserati;Maserati
1958.05.30;USA;Billy Garrett;F;1933.4.24;amerikai;;gyújtás;Kurtis Kraft;Kurtis;Offenhauser
1953.08.02;Németország;Edgar Barth;F;1917.11.26;német;;kipufogócsõ;EMW Rennkollektiv;EMW;BMW
1954.08.22;Svájc;Roberto Mieres;F;1924.12.3;argentín;4;;Officine Alfieri Maserati;Maserati;Maserati
1950.09.03;Olaszország;Pierre Levegh;F;1905.12.22;francia;;kiesett;;Talbot-Lago;Talbot
1956.06.03;Belgium;Horace Gould;F;1921.9.20;brit;;sebességváltó;Gould's Garage (Bristol);Maserati;Maserati
1952.09.07;Olaszország;Giuseppe Farina;F;1906.10.30;olasz;4;;Scuderia Ferrari;Ferrari;Ferrari
1953.08.02;Németország;Harry Schell;F;1921.6.29;amerikai;;motor;Equipe Gordini;Gordini;Gordini
1954.06.20;Belgium;Mike Hawthorn;F;1929.4.10;brit;4;;Scuderia Ferrari;Ferrari;Ferrari
1958.05.18;Monaco;Tony Brooks;F;1932.2.25;brit;;motor;Vandervell Products Ltd;Vanwall;Vanwall
1957.08.04;Németország;Bruce Halford;F;1931.5.18;brit;11;;;Maserati;Maserati
1952.05.30;USA;Jack McGrath;F;1919.10.8;amerikai;11;;Jack Hinkle;Kurtis;Offenhauser
1960.05.29;Monaco;Maurice Trintignant;F;1917.10.30;francia;;sebességváltó;Scuderia Centro Sud;Cooper;Maserati
1953.08.02;Németország;Johnny Claes;F;1916.8.11;belga;;kiesett;Ecurie Belge;Connaught;Lea
1952.05.30;USA;Duane Carter;F;1913.5.5;amerikai;4;;Murrell Belanger;Lesovsky;Offenhauser
1950.09.03;Olaszország;Consalvo Sanesi;F;1911.3.28;olasz;;motor;Alfa Romeo SpA;Alfa;Alfa
1951.07.29;Németország;Andre Simon;F;1920.1.5;francia;;motor;Equipe Gordini;Simca-Gordini;Simca-Gordini
1954.08.22;Svájc;Umberto Maglioli;F;1928.6.5;olasz;7;;Scuderia Ferrari;Ferrari;Ferrari
1955.05.22;Monaco;Jean Behra;F;1921.2.16;francia;;kiesett;Officine Alfieri Maserati;Maserati;Maserati
1951.07.29;Németország;Louis Rosier;F;1905.11.5;francia;8;;Ecurie Rosier;Talbot-Lago;Talbot
1956.07.14;Nagy-Britannia;Francesco Godia;F;1921.3.21;spanyol;8;;Officine Alfieri Maserati;Maserati;Maserati
1950.06.04;Svájc;Giuseppe Farina;F;1906.10.30;olasz;1;;Alfa Romeo SpA;Alfa;Alfa
1955.06.05;Belgium;Jean Behra;F;1921.2.16;francia;;karambol;Officine Alfieri Maserati;Maserati;Maserati
1957.07.20;Nagy-Britannia;Maurice Trintignant;F;1917.10.30;francia;4;;Scuderia Ferrari;Lancia;Lancia
1953.09.13;Olaszország;Hans Stuck;F;1900.12.27;német;14;;Alex Falkenhausen Motorenen;AFM;Bristol
1956.05.30;USA;Jimmy Daywalt;F;1924.8.28;amerikai;;karambol;Kurtis Kraft;Kurtis;Offenhauser
1959.08.02;Németország;Phill Hill;F;1927.4.20;amerikai;3;;Scuderia Ferrari;Ferrari;Ferrari
1958.05.18;Monaco;Louis Chiron;F;1899.8.3;monacoi;;kizárták;Andre Testut;Maserati;Maserati
1958.01.19;Argentína;Francesco Godia;F;1921.3.21;spanyol;8;;Francesco Godia-Sales;Maserati;Maserati
1956.07.01;Franciaország;Andre Pilette;F;1918.10.6;belga;11;;Equipe Gordini;Gordini;Gordini
1953.06.07;Hollandia;Jose-Froilan Gonzalez;F;1922.10.5;argentín;3;;Officine Alfieri Maserati;Maserati;Maserati
1957.05.30;USA;Don Edmunds;F;1930.9.23;amerikai;;kicsúszás;Kurtis Kraft;Kurtis;Offenhauser
1953.09.13;Olaszország;Luigi Villoresi;F;1909.5.16;olasz;3;;Scuderia Ferrari;Ferrari;Ferrari
1960.06.06;Hollandia;Lance Reventlow;F;1936.2.24;amerikai;;visszalépés;Reventlow Automobiles Inc;Scarab;Scarab
1959.05.30;USA;Bob Veith;F;1926.11.1;amerikai;12;;Moore;Moore;Offenhauser
1954.09.05;Olaszország;Robert Manzon;F;1917.4.12;francia;;motor;Ecurie Rosier;Ferrari;Ferrari
1953.08.23;Svájc;Giuseppe Farina;F;1906.10.30;olasz;2;;Scuderia Ferrari;Ferrari;Ferrari
1955.06.19;Hollandia;Jacques Pollet;F;1932.7.2;francia;10;;Equipe Gordini;Gordini;Gordini
1951.07.29;Németország;Antoine Branca;F;1916.9.15;svájci;;motor;;Maserati;Maserati
1953.07.05;Franciaország;Roberto Mieres;F;1924.12.3;argentín;;sebességváltó;Equipe Gordini;Gordini;Gordini
1953.05.30;USA;Art Cross;F;1918.1.24;amerikai;2;;Bessie Lee Paoli;Kurtis;Offenhauser
1960.07.03;Franciaország;Lucien Bianchi;F;1934.11.10;belga;;futómû;Fred Tuck Cars;Cooper;Climax
1952.06.22;Belgium;Lance Macklin;F;1919.9.2;brit;11;;HW Motors;HWM;Alta
1958.06.15;Belgium;Masten Gregory;F;1932.2.29;amerikai;;motor;Scuderia Centro Sud;Maserati;Maserati
1951.07.29;Németország;Rudolf Fischer;F;1912.4.19;svájci;6;;Ecurie Espadon;Ferrari;Ferrari
1956.07.01;Franciaország;Jean Behra;F;1921.2.16;francia;3;;Officine Alfieri Maserati;Maserati;Maserati
1954.05.31;USA;Troy Ruttman;F;1930.3.11;amerikai;4;;Kurtis Kraft;Kurtis;Offenhauser
1960.07.03;Franciaország;Graham Hill;F;1929.2.15;brit;;karambol;Owen Racing Organisation;BRM;BRM
1953.06.21;Belgium;Peter Collins;F;1931.11.8;brit;;kuplung;HW Motors;HWM;Alta
1958.08.03;Németország;Roy Salvadori;F;1922.5.12;brit;2;;Cooper Car Company;Cooper;Climax
1954.05.31;USA;Duane Carter;F;1913.5.5;amerikai;4;;Kurtis Kraft;Kurtis;Offenhauser
1951.06.17;Belgium;Alberto Ascari;F;1918.7.13;olasz;2;;Scuderia Ferrari;Ferrari;Ferrari
1956.05.30;USA;Jimmy Reece;F;1929.11.17;amerikai;9;;Lesovsky;Lesovsky;Offenhauser
1953.07.05;Franciaország;Elie Bayol;F;1914.2.28;francia;;motor;OSCA Automobili;Osca;Osca
1957.05.30;USA;Marshall Teague;F;1921.5.22;amerikai;7;;Kurtis Kraft;Kurtis;Offenhauser
1952.08.03;Németország;Roger Laurent;F;1913.2.21;brit;6;;Ecurie Francorchamps;Ferrari;Ferrari
1950.05.13;Nagy-Britannia;Joe Kelly;F;1913.3.13;brit;;nem teljesítette a távot;;Alta;Alta
1960.02.07;Argentína;Nasif Estefano;F;1932.11.18;amerikai;14;;;Maserati;Maserati
1952.06.22;Belgium;Johnny Claes;F;1916.8.11;belga;8;;Equipe Gordini;Gordini;Gordini
1953.07.18;Nagy-Britannia;Jack Fairman;F;1913.3.15;brit;;kuplung;John Heath;HWM;Alta
1950.09.03;Olaszország;Johnny Claes;F;1916.8.11;belga;;túlhajtás;Ecurie Belge;Talbot-Lago;Talbot
1951.07.14;Nagy-Britannia;Bob Gerard;F;1914.1.19;brit;11;;;ERA;ERA
1955.01.16;Argentína;Maurice Trintignant;F;1917.10.30;francia;;motor;Scuderia Ferrari;Ferrari;Ferrari
1958.06.15;Belgium;Peter Collins;F;1931.11.8;brit;;túlhajtás;Scuderia Ferrari;Ferrari;Ferrari
1954.05.31;USA;Ed Elisian;F;1926.12.9;amerikai;18;;Stevens;Stevens;Offenhauser
1956.07.01;Franciaország;Stirling Moss;F;1929.9.17;brit;;sebességváltó;Officine Alfieri Maserati;Maserati;Maserati
1954.07.04;Franciaország;Hans Herrmann;F;1928.2.23;német;;motor;Daimler Benz AG;Mercedes;Mercedes
1952.05.30;USA;Eddie Johnson;F;1919.2.10;amerikai;16;;Pete Salemi;Trevis;Offenhauser
1950.05.21;Monaco;Louis Chiron;F;1899.8.3;monacoi;3;;Officine Alfieri Maserati;Maserati;Maserati
1956.05.30;USA;Pat O'Connor;F;1928.10.9;amerikai;18;;Kurtis Kraft;Kurtis;Offenhauser
1954.06.20;Belgium;Onofre Marimon;F;1923.12.19;argentín;;motor;Officine Alfieri Maserati;Maserati;Maserati
1956.05.13;Monaco;Eugenio Castellotti;F;1930.10.10;olasz;4;;Scuderia Ferrari;Lancia;Lancia
1955.06.19;Hollandia;Mike Hawthorn;F;1929.4.10;brit;7;;Scuderia Ferrari;Ferrari;Ferrari
1951.09.16;Olaszország;Andre Simon;F;1920.1.5;francia;6;;Equipe Gordini;Simca-Gordini;Simca-Gordini
1958.05.30;USA;Johnnie Tolan;F;1918.10.22;amerikai;13;;Kuzma;Kuzma;Offenhauser
1952.07.19;Nagy-Britannia;Tony Gaze;F;1920.2.3;ausztrál;;motor;;HWM;Alta
1950.06.04;Svájc;Eugene Martin;F;1915.3.24;francia;;karambol;Automobiles Talbot-Darracq SA;Talbot-Lago;Talbot
1951.05.27;Svájc;Yves Giraud-Cabantous;F;1903.10.8;francia;;gyújtás;;Talbot-Lago;Talbot
1954.08.01;Németország;Paul Frere;F;1917.1.30;belga;;kerék;Equipe Gordini;Gordini;Gordini
1954.01.17;Argentína;Carlos Menditeguy;F;1915.8.10;argentín;;motor;Onofre Marimon;Maserati;Maserati
1960.06.19;Belgium;Wolfgang von Trips;F;1928.5.4;német;;futómû;Scuderia Ferrari;Ferrari;Ferrari
1952.06.22;Belgium;Ken Wharton;F;1916.3.21;brit;;karambol;Scuderia Franera;Frazer-Nash;Bristol
1959.05.10;Monaco;Cliff Allison;F;1932.2.8;brit;;karambol;Scuderia Ferrari;Ferrari;Ferrari
1958.05.30;USA;Ed Elisian;F;1926.12.9;amerikai;;karambol;Watson;Watson;Offenhauser
1956.08.05;Németország;Stirling Moss;F;1929.9.17;brit;2;;Officine Alfieri Maserati;Maserati;Maserati
1958.09.07;Olaszország;Wolfgang von Trips;F;1928.5.4;német;;karambol;Scuderia Ferrari;Ferrari;Ferrari
1959.05.30;USA;Chuck Weyant;F;1923.3.4;amerikai;;karambol;Leader Cards Inc;Kurtis;Offenhauser
1955.01.16;Argentína;Giuseppe Farina;F;1906.10.30;olasz;2;;Scuderia Ferrari;Ferrari;Ferrari
1953.01.18;Argentína;Adolfo Schwelm-Cruz;F;1923.6.28;argentín;;kerék;Cooper Car Company;Cooper;Bristol
1950.07.02;Franciaország;Louis Rosier;F;1905.11.5;francia;;túlhajtás;Automobiles Talbot-Darracq SA;Talbot-Lago;Talbot
1956.09.02;Olaszország;Alfonso de Portago;F;1928.10.11;spanyol;;defekt;Scuderia Ferrari;Lancia;Lancia
1956.08.05;Németország;Louis Rosier;F;1905.11.5;francia;5;;Ecurie Rosier;Maserati;Maserati
1953.07.18;Nagy-Britannia;Onofre Marimon;F;1923.12.19;argentín;;motor;Officine Alfieri Maserati;Maserati;Maserati
1957.07.20;Nagy-Britannia;Roy Salvadori;F;1922.5.12;brit;5;;Cooper Car Company;Cooper;Climax
1953.05.30;USA;Fred Agabashian;F;1913.8.21;amerikai;4;;Grancor Auto Specialists;Kurtis;Offenhauser
1960.08.14;Portugália;John Surtees;F;1934.2.11;brit;;hûtés;Team Lotus;Lotus;Climax
1950.05.21;Monaco;Alfredo Pian;F;1912.10.21;argentín;;karambol;Scuderia Achille Varzi;Maserati;Maserati
1955.07.16;Nagy-Britannia;Horace Gould;F;1921.9.20;brit;;törés;Gould's Garage (Bristol);Maserati;Maserati
1950.07.02;Franciaország;Luigi Fagioli;F;1898.6.9;olasz;2;;Alfa Romeo SpA;Alfa;Alfa
1953.07.18;Nagy-Britannia;Maurice Trintignant;F;1917.10.30;francia;;sebességváltó;Equipe Gordini;Gordini;Gordini
1956.01.22;Argentína;Eugenio Castellotti;F;1930.10.10;olasz;;sebességváltó;Scuderia Ferrari;Lancia;Lancia
1952.06.22;Belgium;Charles de Tornaco;F;1927.6.7;belga;7;;Ecurie Francorchamps;Ferrari;Ferrari
1956.09.02;Olaszország;Harry Schell;F;1921.6.29;amerikai;;futómû;Vandervell Products Ltd;Vanwall;Vanwall
1955.05.22;Monaco;Elie Bayol;F;1914.2.28;francia;;sebességváltó;Equipe Gordini;Gordini;Gordini
1951.06.17;Belgium;Philippe Etancelin;F;1896.12.28;francia;;futómû;;Talbot-Lago;Talbot
1952.07.06;Franciaország;Philippe Etancelin;F;1896.12.28;francia;8;;Escuderia Bandeirantes;Maserati;Maserati
1951.05.30;USA;Cecil Green;F;1919.9.30;amerikai;;motor;MA Walker;Kurtis;Offenhauser
1957.01.13;Argentína;Eugenio Castellotti;F;1930.10.10;olasz;;elosztó;Scuderia Ferrari;Lancia;Lancia
1958.09.07;Olaszország;Carroll Shelby;F;1923.1.11;amerikai;;motor;Officine Alfieri Maserati;Maserati;Maserati
1951.05.30;USA;Bill Vukovich;F;1918.12.13;amerikai;;olajfolyás;Pete Salemi;Trevis;Offenhauser
1950.06.04;Svájc;Alberto Ascari;F;1918.7.13;olasz;;olajteknõ;Scuderia Ferrari;Ferrari;Ferrari
1956.06.03;Belgium;Mike Hawthorn;F;1929.4.10;brit;;visszalépés;Owen Racing Organisation;Maserati;Maserati
1955.05.30;USA;Pat Flaherty;F;1926.1.6;amerikai;10;;Kurtis Kraft;Kurtis;Offenhauser
1951.10.28;Spanyolország;Piero Taruffi;F;1906.10.12;olasz;;kiállás;Scuderia Ferrari;Ferrari;Ferrari
1954.05.31;USA;Paul Russo;F;1914.4.10;amerikai;8;;Kurtis Kraft;Kurtis;Offenhauser
1958.10.19;Marokkó;Jean Behra;F;1921.2.16;francia;;motor;Owen Racing Organisation;BRM;BRM
1950.09.03;Olaszország;Peter Whitehead;F;1914.11.12;brit;7;;;Ferrari;Ferrari
1951.07.29;Németország;Jacques Swaters;F;1926.10.30;belga;10;;Ecurie Belgique;Talbot-Lago;Talbot
1951.05.27;Svájc;Stirling Moss;F;1929.9.17;brit;8;;HW Motors;HWM;Alta
1960.08.14;Portugália;Jack Brabham;F;1926.4.2;ausztrál;1;;Cooper Car Company;Cooper;Climax
1957.01.13;Argentína;Peter Collins;F;1931.11.8;brit;6;;Scuderia Ferrari;Lancia;Lancia
1950.05.21;Monaco;Louis Rosier;F;1905.11.5;francia;;karambol;Ecurie Rosier;Talbot-Lago;Talbot
1960.09.04;Olaszország;Giorgio Scarlatti;F;1921.10.2;olasz;;gázadagoló;Scuderia Castellotti;Cooper;Maserati
1954.10.24;Spanyolország;Ken Wharton;F;1916.3.21;brit;8;;Owen Racing Organisation;Maserati;Maserati
1957.09.08;Olaszország;Jo Bonnier;F;1930.1.31;svéd;;túlhajtás;Scuderia Centro Sud;Maserati;Maserati
1952.08.03;Németország;Rudolf Krause;F;1907.3.30;német;;kiesett;;BMW;BMW
1959.12.12;USA;Cliff Allison;F;1932.2.8;brit;;kuplung;Scuderia Ferrari;Ferrari;Ferrari
1950.07.02;Franciaország;David Murray;F;1909.12.28;brit;;visszalépés;Scuderia Ambrosiana;Maserati;Maserati
1959.05.30;USA;Jack Turner;F;1920.2.12;amerikai;;benzinfolyás;Christensen;Christensen;Offenhauser
1953.08.02;Németország;Ernst Loof;F;1907.7.4;német;;benzinpumpa;;Veritas;Veritas
1950.09.03;Olaszország;Gianfranco Comotti;F;1906.7.24;olasz;;kiesett;Scuderia Milano;Maserati;Milano
1958.08.24;Portugália;Graham Hill;F;1929.2.15;brit;;karambol;Team Lotus;Lotus;Climax
1952.09.07;Olaszország;Peter Whitehead;F;1914.11.12;brit;;kizárták;;Ferrari;Ferrari
1959.05.10;Monaco;Lucien Bianchi;F;1934.11.10;belga;;kizárták;Equipe Nationale Belge;Cooper;Climax
1958.07.19;Nagy-Britannia;Cliff Allison;F;1932.2.8;brit;;motor;Team Lotus;Lotus;Climax
1954.07.17;Nagy-Britannia;Leslie Thorne;F;1916.6.23;brit;14;;Ecurie Ecosse;Connaught;Lea
1952.08.03;Németország;Willi Heeks;F;1922.2.13;német;;kiesett;;AFM;BMW
1953.05.30;USA;Duane Carter;F;1913.5.5;amerikai;3;;Ed Walsh;Kurtis;Offenhauser
1959.07.05;Franciaország;Ian Burgess;F;1930.7.6;brit;;motor;Scuderia Centro Sud;Cooper;Maserati
1958.05.30;USA;Jerry Unser;F;1932.11.15;amerikai;;karambol;Kurtis Kraft;Kurtis;Offenhauser
1956.07.01;Franciaország;Harry Schell;F;1921.6.29;amerikai;10;;Vandervell Products Ltd;Vanwall;Vanwall
1954.07.04;Franciaország;Maurice Trintignant;F;1917.10.30;francia;;motor;Scuderia Ferrari;Ferrari;Ferrari
1953.06.07;Hollandia;Peter Collins;F;1931.11.8;brit;8;;HW Motors;HWM;Alta
1960.09.04;Olaszország;Richie Ginther;F;1930.8.5;amerikai;2;;Scuderia Ferrari;Ferrari;Ferrari
1958.07.06;Franciaország;Roy Salvadori;F;1922.5.12;brit;11;;Cooper Car Company;Cooper;Climax
1958.01.19;Argentína;Stirling Moss;F;1929.9.17;brit;1;;Rob Walker Racing Team;Cooper;Climax
1953.06.07;Hollandia;Harry Schell;F;1921.6.29;amerikai;;futómû;Equipe Gordini;Gordini;Gordini
1959.12.12;USA;Harry Schell;F;1921.6.29;amerikai;;kuplung;Ecurie Bleue;Cooper;Climax
1955.09.11;Olaszország;Harry Schell;F;1921.6.29;amerikai;;nem azonosított;Vandervell Products Ltd;Vanwall;Vanwall
1960.11.20;USA;Innes Ireland;F;1930.12.16;brit;2;;Team Lotus;Lotus;Climax
1953.07.05;Franciaország;Jose-Froilan Gonzalez;F;1922.10.5;argentín;3;;Officine Alfieri Maserati;Maserati;Maserati
1960.11.20;USA;Jim Clark;F;1936.3.4;skót;16;;Team Lotus;Lotus;Climax
1957.08.04;Németország;Stuart Lewis-Evans;F;1930.4.20;brit;;sebességváltó;Vandervell Products Ltd;Vanwall;Vanwall
1952.05.30;USA;Jimmy Bryan;F;1927.1.28;amerikai;6;;Peter Schmidt;Kurtis;Offenhauser
1953.09.13;Olaszország;Prince Birabongse Bhanuban;F;1914.7.15;thaiföldi;11;;Scuderia Milano;Maserati;Maserati
1959.08.23;Portugália;Maurice Trintignant;F;1917.10.30;francia;4;;Rob Walker Racing Team;Cooper;Climax
1957.05.30;USA;Andy Linden;F;1922.4.5;amerikai;5;;Kurtis Kraft;Kurtis;Offenhauser
1956.07.14;Nagy-Britannia;Harry Schell;F;1921.6.29;amerikai;;benzinfolyás;Vandervell Products Ltd;Vanwall;Vanwall
1957.09.08;Olaszország;Peter Collins;F;1931.11.8;brit;;motor;Scuderia Ferrari;Lancia;Lancia
1956.05.30;USA;Ray Crawford;F;1915.10.26;amerikai;;karambol;Kurtis Kraft;Kurtis;Offenhauser
